1,69,1
2,64,1
3,36,0
4,74,1
5,53,1
6,60,1
7,75,1
8,24,1
9,44,1
10,57,1
11,78,1
12,73,1
13,67,1
14,62,1
15,53,0
16,55,1
17,27,1
18,29,1
19,22,1
20,41,1
21,88,1
22,21,1
23,7,0
24,64,1
25,11,1
26,17,1
27,16,1
28,36,1
29,38,1
30,1,1
31,46,1
32,30,1
33,87,1
34,27,1
1,18,0
2,68,0
3,89,1
4,30,0
5,32,1
6,52,1
7,35,1
8,89,0
9,73,0
10,87,1
11,47,1
12,65,0
13,34,0
14,37,0
15,73,1
16,59,1
17,79,1
18,18,1
19,56,1
20,53,0
21,18,1
22,8,1
23,78,1
24,52,0
25,90,1
26,71,1
27,48,1
28,58,0
29,76,1
30,64,1
31,2,1
32,19,1
33,80,0
34,43,0
1,90,1
2,18,1
3,81,1
4,11,1
5,17,0
6,89,1
7,59,1
8,6,0
9,31,0
10,40,0
11,18,1
12,72,1
13,49,1
14,22,1
15,3,0
16,68,0
17,7,1
18,38,0
19,49,1
20,86,1
21,30,1
22,46,1
23,87,0
24,90,1
25,30,1
26,29,1
27,68,1
28,15,0
29,19,1
30,55,1
31,80,0
32,27,0
33,67,0
34,49,1
1,45,1
2,30,1
3,20,0
4,19,1
5,88,1
6,56,0
7,27,0
8,48,1
9,21,1
10,79,1
11,21,1
12,47,0
13,18,1
14,67,1
15,28,1
16,32,1
17,85,1
18,57,1
19,88,1
20,40,1
21,66,1
22,79,1
23,21,0
24,29,1
25,59,1
26,3,1
27,27,1
28,83,0
29,80,0
30,31,0
31,33,0
32,62,0
33,61,1
34,25,1
1,75,1
2,70,1
3,63,1
4,82,0
5,81,1
6,22,1
7,49,1
8,37,1
9,57,1
10,69,1
11,84,1
12,80,1
13,48,1
14,35,1
15,57,0
16,63,0
17,18,0
18,11,0
19,1,0
20,55,1
21,60,1
22,26,1
23,23,1
24,42,1
25,8,1
26,23,0
27,42,1
28,9,1
29,80,1
30,71,1
31,57,1
32,3,1
33,43,1
34,34,1
